Date,1. Open,2. High,3. Low,4. Close,5. Volume
02/03/2020,1906.49,1954.51,1870,1953.95,6761651
03/03/2020,1975.37,1996.33,1888.09,1908.99,7534491
04/03/2020,1946.57,1978,1922,1975.83,4772919
05/03/2020,1933,1960.72,1910,1924.03,4748210
06/03/2020,1875,1910.87,1869.5,1901.09,5273580
09/03/2020,1773.86,1862.77,1761.29,1800.61,7813232
10/03/2020,1870.88,1894.27,1818.17,1891.82,7133310
11/03/2020,1857.85,1871.32,1801.5,1820.86,5646831
12/03/2020,1721.98,1765,1675,1676.61,11346214
13/03/2020,1755,1786.31,1680.62,1785,8809725
16/03/2020,1641.51,1759.45,1626.03,1689.15,8917265
17/03/2020,1775.47,1857.78,1689.24,1807.84,10917129
18/03/2020,1750,1841.66,1745,1830,9596297
19/03/2020,1860,1945,1832.65,1880.93,10399943
20/03/2020,1926.31,1957,1820.73,1846.09,9817850
23/03/2020,1827.75,1919.4,1812,1902.83,7808489
24/03/2020,1952.01,1955,1900.34,1940.1,7147080
25/03/2020,1920.69,1950.26,1885.78,1885.84,6479073
26/03/2020,1902,1956.49,1889.29,1955.49,6235118
27/03/2020,1930.86,1939.79,1899.92,1900.1,5387897
30/03/2020,1922.83,1973.63,1912.34,1963.95,6126087
31/03/2020,1964.35,1993.02,1944.01,1949.72,5123626
01/04/2020,1932.97,1944.96,1893,1907.7,4121875
02/04/2020,1901.64,1927.53,1890,1918.83,4335985
03/04/2020,1911.15,1926.33,1889.15,1906.59,3609870
06/04/2020,1936,1998.52,1930.02,1997.59,5773181
07/04/2020,2017.11,2035.72,1997.62,2011.6,5113983
08/04/2020,2021,2044,2011.15,2043,3977313
09/04/2020,2044.3,2053,2017.66,2042.76,4655617
13/04/2020,2040,2180,2038,2168.87,6716709
14/04/2020,2200.47,2292,2186.21,2283.32,8087193
15/04/2020,2257.68,2333.37,2245,2307.68,6866567
16/04/2020,2346,2461,2335,2408.19,12038201
17/04/2020,2372.33,2400,2316.02,2375,7930010
20/04/2020,2389.95,2444.98,2386.05,2393.61,5770694
21/04/2020,2416.61,2428.31,2279.66,2328.12,7476679
22/04/2020,2369,2394,2351,2363.49,4218295
23/04/2020,2399.98,2424.22,2382.08,2399.45,5066552
24/04/2020,2417,2420.43,2382,2410.22,3831797
27/04/2020,2443.2,2444.88,2363,2376,5645645
28/04/2020,2372.1,2373.5,2306,2314.08,5269446
29/04/2020,2330.01,2391.89,2310,2372.71,4591593
30/04/2020,2419.84,2475,2396.01,2474,9534611
01/05/2020,2336.8,2362.44,2258.19,2286.04,9772605
04/05/2020,2256.38,2326.98,2256.38,2315.99,4865926
05/05/2020,2340,2351,2307.13,2317.8,3242496
06/05/2020,2329.44,2357.45,2320,2351.26,3117814
07/05/2020,2374.78,2376,2343.11,2367.61,3396411
08/05/2020,2372.14,2387.24,2357,2379.61,3211228
11/05/2020,2374.7,2419.66,2372.11,2409,3259231
12/05/2020,2411.85,2419,2355,2356.95,3074916
13/05/2020,2366.8,2407.7,2337.8,2367.92,4782919
14/05/2020,2361.01,2391.37,2353.21,2388.85,3648128
15/05/2020,2368.52,2411,2356.37,2409.78,4234951
18/05/2020,2402.48,2433,2384.01,2426.26,4366572
19/05/2020,2429.83,2484.99,2428.97,2449.33,4320498
20/05/2020,2477.87,2500.01,2467.27,2497.94,3998143
21/05/2020,2500,2525.45,2442.54,2446.74,5114403
22/05/2020,2455.01,2469.85,2430.13,2436.88,2867079
26/05/2020,2458,2462,2414.06,2421.86,3568153
27/05/2020,2404.99,2413.58,2330,2410.39,5056945
28/05/2020,2384.33,2436.97,2378.23,2401.1,3193136
29/05/2020,2415.94,2442.37,2398.2,2442.37,3529329
01/06/2020,2448,2476.93,2444.17,2471.04,2938032
02/06/2020,2467,2473.53,2445.31,2472.41,2529903
03/06/2020,2468.01,2488,2461.17,2478.4,2671024
04/06/2020,2477.43,2507.54,2450.01,2460.6,2948710
05/06/2020,2444.51,2488.64,2437.13,2483,3306445
08/06/2020,2500.2,2530,2487.34,2524.06,3970654
09/06/2020,2529.44,2626.43,2525,2600.86,5175950
10/06/2020,2645,2722.35,2626.26,2647.45,4946031
11/06/2020,2603.5,2671.38,2536.23,2557.96,5800107
12/06/2020,2601.21,2621.48,2503.35,2545.02,5436127
15/06/2020,2526.6,2584,2508,2572.68,3873335
16/06/2020,2620,2620,2576,2615.27,3595649
17/06/2020,2647.5,2655,2631.82,2640.98,2959316
18/06/2020,2647.01,2659.64,2636.11,2653.98,2487774
19/06/2020,2678.08,2697.43,2659,2675.01,5776963
22/06/2020,2684.5,2715,2669,2713.82,3208780
23/06/2020,2726.02,2783.11,2718.04,2764.41,4231707
24/06/2020,2780,2796,2721,2734.4,4526605
25/06/2020,2739.55,2756.23,2712.14,2754.58,2968657
26/06/2020,2775.06,2782.57,2688,2692.87,6500784
29/06/2020,2690.01,2696.8,2630.08,2680.38,4223422
30/06/2020,2685.07,2769.63,2675.03,2758.82,3769686
01/07/2020,2757.99,2895,2754,2878.7,6364355
02/07/2020,2912.01,2955.56,2871.1,2890.3,6593735
06/07/2020,2934.97,3059.88,2930,3057.04,6880340
07/07/2020,3058.55,3069.55,2990,3000.12,5257688
08/07/2020,3022.61,3083.97,3012.43,3081.11,5037856
09/07/2020,3115.99,3193.88,3074,3182.63,6388971
10/07/2020,3191.76,3215,3135.7,3200,5486005
