Date,1. Open,2. High,3. Low,4. Close,5. Volume
02/03/2020,282.28,301.44,277.72,298.81,85349339
03/03/2020,303.67,304,285.8,289.32,79868852
04/03/2020,296.44,303.4,293.13,302.74,54794568
05/03/2020,295.52,299.55,291.41,292.92,46893219
06/03/2020,282,290.82,281.23,289.03,56544246
09/03/2020,263.75,278.09,263,266.17,71686208
10/03/2020,277.14,286.44,269.37,285.34,71322520
11/03/2020,277.39,281.22,271.86,275.43,64094970
12/03/2020,255.94,270,248,248.23,104618517
13/03/2020,264.89,279.92,252.95,277.97,92683032
16/03/2020,241.95,259.08,240,242.21,80605865
17/03/2020,247.51,257.61,238.4,252.86,81013965
18/03/2020,239.77,250,237.12,246.67,75058406
19/03/2020,247.39,252.84,242.61,244.78,67964255
20/03/2020,247.18,251.83,228,229.24,100423346
23/03/2020,228.08,228.5,212.61,224.37,84188208
24/03/2020,236.36,247.69,234.3,246.88,71882773
25/03/2020,250.75,258.25,244.3,245.52,75900510
26/03/2020,246.52,258.68,246.36,258.44,63140169
27/03/2020,252.75,255.87,247.05,247.74,51054153
30/03/2020,250.74,255.52,249.4,254.81,41994110
31/03/2020,255.6,262.49,252,254.29,49250501
01/04/2020,246.5,248.72,239.13,240.91,44054638
02/04/2020,240.34,245.15,236.9,244.93,41483493
03/04/2020,242.8,245.7,238.97,241.41,32470017
06/04/2020,250.9,263.11,249.38,262.47,50455071
07/04/2020,270.8,271.7,259,259.43,50721831
08/04/2020,262.74,267.37,261.23,266.07,42223821
09/04/2020,268.7,270.07,264.7,267.99,40529123
13/04/2020,268.31,273.7,265.83,273.25,32755731
14/04/2020,280,288.25,278.05,287.05,48748672
15/04/2020,282.4,286.33,280.63,284.43,32788641
16/04/2020,287.38,288.2,282.35,286.69,39281290
17/04/2020,284.69,286.95,276.86,282.8,53812478
20/04/2020,277.95,281.68,276.85,276.93,32503750
21/04/2020,276.28,277.25,265.43,268.37,45247893
22/04/2020,273.61,277.9,272.2,276.1,29264342
23/04/2020,275.87,281.75,274.87,275.03,31203582
24/04/2020,277.2,283.01,277,282.97,31627183
27/04/2020,281.8,284.54,279.95,283.17,29271893
28/04/2020,285.08,285.83,278.2,278.58,28001187
29/04/2020,284.73,289.67,283.89,287.73,34320204
30/04/2020,289.96,294.53,288.35,293.8,45765968
01/05/2020,286.25,299,285.85,289.07,60154175
04/05/2020,289.17,293.69,286.32,293.16,33391986
05/05/2020,295.06,301,294.46,297.56,36937795
06/05/2020,300.46,303.24,298.87,300.63,35583438
07/05/2020,303.22,305.17,301.97,303.74,28803764
08/05/2020,305.64,310.35,304.29,310.13,33511985
11/05/2020,308.1,317.05,307.24,315.01,36486561
12/05/2020,317.83,319.69,310.91,311.41,40575263
13/05/2020,312.15,315.95,303.21,307.65,50155639
14/05/2020,304.51,309.79,301.53,309.54,39732269
15/05/2020,300.35,307.9,300.21,307.71,41587094
18/05/2020,313.17,316.5,310.32,314.96,33843125
19/05/2020,315.03,318.52,313.01,313.14,25432385
20/05/2020,316.68,319.52,316.52,319.23,27876215
21/05/2020,318.66,320.89,315.87,316.85,25672211
22/05/2020,315.77,319.23,315.35,318.89,20450754
26/05/2020,323.5,324.24,316.5,316.73,31380454
27/05/2020,316.14,318.71,313.09,318.11,28236274
28/05/2020,316.77,323.44,315.63,318.25,33449103
29/05/2020,319.25,321.15,316.47,317.94,38399532
01/06/2020,317.75,322.35,317.21,321.85,20254653
02/06/2020,320.75,323.44,318.93,323.34,21910704
03/06/2020,324.66,326.2,322.3,325.12,26122804
04/06/2020,324.39,325.62,320.78,322.32,21890091
05/06/2020,323.35,331.75,323.23,331.5,34312550
08/06/2020,330.25,333.6,327.32,333.46,23913634
09/06/2020,332.14,345.61,332.01,343.99,36928091
10/06/2020,347.9,354.77,346.09,352.84,41662938
