Date,1. Open,2. High,3. Low,4. Close,5. Volume
02/03/2020,194.03,196.57,188.85,196.44,24948955
03/03/2020,196.22,197.24,183.97,185.89,27984104
04/03/2020,189.17,191.83,186.39,191.76,23062473
05/03/2020,186.78,188.99,183.8901,185.17,19333425
06/03/2020,178.33,183.78,176.26,181.09,24559550
09/03/2020,169.6,175,165.19,169.5,29949041
10/03/2020,174.67,178.29,169.5,178.19,24517791
11/03/2020,174.01,175.88,167.66,170.24,20397204
12/03/2020,159.54,166.6,154.34,154.47,43266335
13/03/2020,163.53,170.79,157.6,170.28,35028627
16/03/2020,152.32,159.13,143.1,146.01,39120419
17/03/2020,150.74,153.94,140,149.42,34255596
18/03/2020,139.75,148.18,137.1006,146.96,37553136
19/03/2020,146.62,159.9294,144.8,153.13,39862312
20/03/2020,156.02,159.27,148,149.73,32568398
23/03/2020,149.66,152.31,142.25,148.1,29830765
24/03/2020,155.205,161.31,152.57,160.98,30440369
25/03/2020,158.92,162.99,153.06,156.21,35184271
26/03/2020,158.25,164,157.0201,163.34,26579021
27/03/2020,158.2,160.09,154.75,156.79,24879869
30/03/2020,159.18,166.75,158.06,165.95,22515225
31/03/2020,165.48,170.93,164.2,166.8,23676283
01/04/2020,161.615,164.15,158.035,159.6,19507559
02/04/2020,159.1,161.3509,155.92,158.19,20886309
03/04/2020,157.15,157.91,150.83,154.18,25983317
06/04/2020,160.15,166.2,158.51,165.55,28453581
07/04/2020,171.79,173.39,166.01,168.83,31411919
08/04/2020,171.25,175,167.74,174.28,21664198
09/04/2020,175.9,177.08,171.57,175.19,23534287
13/04/2020,173.67,175,169.45,174.79,19355355
14/04/2020,178.9765,181.225,176.62,178.17,21011815
15/04/2020,175.1865,178.19,172.82,176.97,17423003
16/04/2020,177.95,178.05,172.51,176.25,23593229
17/04/2020,179.2,180.28,176.66,179.24,20974750
20/04/2020,177.41,180.5,176.77,178.24,16110664
21/04/2020,175.25,175.38,168.3408,170.8,24850528
22/04/2020,178.45,184.78,178.14,182.28,33369931
23/04/2020,184.08,187.05,183.15,185.13,21426604
24/04/2020,183.23,190.41,180.825,190.07,28868528
27/04/2020,192.99,193.75,187.41,187.5,29197750
28/04/2020,188.66,189.2,182.56,182.91,21730986
29/04/2020,190.93,196.91,190,194.19,45954521
30/04/2020,206.92,209.69,201.5701,204.71,46230116
01/05/2020,201.6,207.28,199.0501,202.27,30415581
04/05/2020,200.2,205.91,198.7562,205.26,19250673
05/05/2020,207.02,210.38,206.5,207.07,21071223
06/05/2020,208.12,211.6,206.66,208.47,21856963
07/05/2020,211.16,211.6,209.04,211.26,15151976
08/05/2020,212.24,213.21,210.85,212.35,12524048
11/05/2020,210.8865,215,210.37,213.18,12911948
12/05/2020,213.29,215.275,210,210.1,14704647
13/05/2020,209.43,210.78,202.11,205.1,20684559
14/05/2020,202.56,206.93,200.69,206.81,17178947
15/05/2020,205.27,211.34,204.12,210.88,19383154
18/05/2020,212.15,214.6445,210.94,213.19,20167443
19/05/2020,213.27,220.49,212.83,216.88,31843152
20/05/2020,223.5,231.34,223.19,229.97,50162875
21/05/2020,234.72,237.2,231.2,231.39,47577915
22/05/2020,231.51,235.99,228.74,234.91,33925564
26/05/2020,239.77,240.9,231.67,232.2,33178318
27/05/2020,229.07,230.56,221.1347,229.14,34697553
28/05/2020,224.3,231.6332,224,225.46,29423013
29/05/2020,225.2,227.49,222.88,225.09,23322476
01/06/2020,224.59,232.44,223.5,231.91,18223839
02/06/2020,230.94,233,226.56,232.72,20919018
03/06/2020,232.11,232.65,228.53,230.16,15380282
04/06/2020,229.56,231.63,224.61,226.29,17041481
05/06/2020,226.71,231.35,225.3105,230.77,16750438
08/06/2020,229.03,231.55,227.41,231.4,15466499
